model_id,geography_level,outcome,outcome_label,treatment,specification,n_obs,rank,df_resid,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper,r_squared,warnings,caveat
cbsa_revenue_all_playoff_event_geo_calendar_trend,cbsa,revenue_all,Womply revenue,playoff_event,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7194,131,7063,0.009247728105615447,0.011565186409708926,0.7996177301432874,0.4239592023457364,-0.013423505820570534,0.03191896203180143,0.6089536085921812,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_merchants_all_has_event_geo_calendar_trend,cbsa,merchants_all,Womply merchants,has_event,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7194,131,7063,0.018090103953785616,0.002174558150872254,8.318979166654778,1.0550941893777151e-16,0.013827317797296845,0.022352890110274387,0.6682347795423836,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_merchants_all_event_intensity_geo_calendar_trend,cbsa,merchants_all,Womply merchants,event_intensity,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7194,131,7063,0.0037345027834401346,0.00043616916386460546,8.562051361795465,1.3462148194426148e-17,0.002879480408957518,0.004589525157922751,0.6684255413658338,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_merchants_all_playoff_event_geo_calendar_trend,cbsa,merchants_all,Womply merchants,playoff_event,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7194,131,7063,0.014591947117180929,0.005112474590769556,2.85418477062484,0.004327302310807471,0.004569963615754973,0.024613930618606887,0.6653700011852697,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_revenue_all_vs_rolling4_has_event_geo_calendar_trend,cbsa,revenue_all_vs_rolling4,Womply revenue vs rolling 4-week baseline,has_event,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7062,131,6931,-0.0009122054150736985,0.0030742613069479614,-0.29672344800751826,0.7666865450181457,-0.0069386992628758205,0.005114288432728423,0.3126217649184916,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_revenue_all_vs_rolling4_event_intensity_geo_calendar_trend,cbsa,revenue_all_vs_rolling4,Womply revenue vs rolling 4-week baseline,event_intensity,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7062,131,6931,-0.0003128054270232504,0.0006136949375209344,-0.5097083386199189,0.6102720388958937,-0.0015158354872977665,0.0008902246332512656,0.31263879826698326,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_revenue_all_vs_rolling4_playoff_event_geo_calendar_trend,cbsa,revenue_all_vs_rolling4,Womply revenue vs rolling 4-week baseline,playoff_event,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7062,131,6931,-0.03569383163413536,0.007247584480535698,-4.9249279853164385,8.634544513234757e-07,-0.04990131724528411,-0.021486346022986606,0.3150101433800835,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_merchants_all_vs_rolling4_has_event_geo_calendar_trend,cbsa,merchants_all_vs_rolling4,Womply merchants vs rolling 4-week baseline,has_event,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7062,131,6931,0.0029655028524518314,0.0011842093214834485,2.504204956550226,0.01229548282829662,0.0006440898436419302,0.005286915861261733,0.45812480589219506,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_merchants_all_vs_rolling4_event_intensity_geo_calendar_trend,cbsa,merchants_all_vs_rolling4,Womply merchants vs rolling 4-week baseline,event_intensity,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7062,131,6931,0.0005174931042899344,0.00023642421236894328,2.188832941874748,0.02864223232042586,5.402922823854935e-05,0.0009809569803413195,0.45800917323993673,,Controlled association model; coefficients are not causal effects without stronger identification.
cbsa_merchants_all_vs_rolling4_playoff_event_geo_calendar_trend,cbsa,merchants_all_vs_rolling4,Womply merchants vs rolling 4-week baseline,playoff_event,"OLS with geography, year, month, week-of-year, and within-geography trend controls",7062,131,6931,-0.022783855139157008,0.0027844899495863334,-8.182416008555462,3.282571762183009e-16,-0.0282423083657984,-0.017325401912515616,0.4628235333158507,,Controlled association model; coefficients are not causal effects without stronger identification.
