county_fips,county_name,state,cbsa_code,cbsa_name,geography_weeks,event_weeks,event_week_share,total_game_count,mean_revenue_all,mean_revenue_all_event_weeks,mean_revenue_all_non_event_weeks,event_vs_non_event_revenue_diff,mean_merchants_all,mean_merchants_all_event_weeks,mean_merchants_all_non_event_weeks,event_vs_non_event_merchants_diff
36047,Kings County,NY,35620,"New York-Newark-Jersey City, NY-NJ",109,45,0.41284403669724773,95.0,-0.026792660550458706,0.06074977777777778,-0.08834593749999997,0.14909571527777776,0.002674422018348628,0.0638048888888889,-0.0403079375,0.1041128263888889
37119,Mecklenburg County,NC,16740,"Charlotte-Concord-Gastonia, NC-SC",109,51,0.46788990825688076,93.0,0.010411752293577978,0.09177119607843137,-0.061128448275862064,0.15289964435429343,0.008146999999999996,0.046639019607843134,-0.025699431034482762,0.0723384506423259
49035,Salt Lake County,UT,41620,"Salt Lake City-Murray, UT",109,49,0.44954128440366975,89.0,-0.07801853211009174,-0.04593183673469387,-0.10422266666666666,0.058290829931972786,0.003393605504587157,0.023978000000000006,-0.013416983333333335,0.03739498333333334
41051,Multnomah County,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",109,48,0.44036697247706424,89.0,-0.11728978899082568,-0.045224312499999995,-0.17399704918032785,0.12877273668032785,-0.18533537614678897,-0.14301158333333333,-0.2186393442622951,0.07562776092896176
47157,Shelby County,TN,32820,"Memphis, TN-MS-AR",109,49,0.44954128440366975,88.0,-0.001015688073394495,-0.00440387755102041,0.0017513333333333352,-0.006155210884353746,-0.06760281651376147,-0.059215653061224484,-0.07445233333333331,0.015236680272108831
47037,Davidson County,TN,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",109,49,0.44954128440366975,87.0,0.17764328440366972,0.31575959183673474,0.06484830000000001,0.2509112918367347,-0.08731990825688074,-0.05460918367346939,-0.11403366666666667,0.05942448299319728
40109,Oklahoma County,OK,36420,"Oklahoma City, OK",109,44,0.4036697247706422,86.0,-0.041366155963302745,-0.055286818181818194,-0.03194293846153846,-0.023343879720279737,0.07745788990825687,0.10987181818181818,0.05551615384615385,0.054355664335664335
06067,Sacramento County,CA,40900,"Sacramento-Roseville-Folsom, CA",109,45,0.41284403669724773,85.0,0.0596754128440367,0.120156,0.017150000000000006,0.10300599999999999,-0.11172111009174314,-0.08096379999999999,-0.13334734375,0.052383543750000025
06085,Santa Clara County,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",109,41,0.3761467889908257,81.0,-0.25127293577981646,-0.1770378048780488,-0.2960323529411764,0.11899454806312762,-0.10889567889908254,-0.06280046341463413,-0.13668838235294117,0.07388791893830704
48029,Bexar County,TX,41700,"San Antonio-New Braunfels, TX",109,41,0.3761467889908257,81.0,-0.14942198165137616,-0.1421950243902439,-0.15377941176470591,0.011584387374462018,-0.004545147522935782,0.022566299999999997,-0.020891755588235295,0.04345805558823529
