week_type,geography_weeks,geographies,mean_revenue_all,median_revenue_all,mean_merchants_all,median_merchants_all,mean_game_count,total_game_count,mean_total_attendance
event_week,2542,48,-0.04831144440166894,-0.047575815750700745,-0.026064526757074928,-0.014686204887004773,3.2958300550747444,8378.0,27674.295043273014
non_event_week,4652,66,-0.08120751326053327,-0.08764856965348955,-0.05160098231928497,-0.03590543968809965,0.0,0.0,0.0
