venue_key,venue_name,venue_name_normalized,league,team_id,team_name,season_start,season_end,city,state,country,county_fips,county_name,cbsa_code,cbsa_name,latitude,longitude,source,source_url,confidence,notes
mlb:dye01,Field of Dreams,field of dreams,MLB,CHA,CHA,2021,2021,Dyersville,IA,United States,19061,Dubuque County,20220,"Dubuque, IA",42.4952321,-91.0549035,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: DYE01; geocode method: venue_city_state; geocode query: Field of Dreams Dyersville IA
mlb:dye01,Field of Dreams,field of dreams,MLB,CIN,CIN,2021,2022,Dyersville,IA,United States,19061,Dubuque County,20220,"Dubuque, IA",42.4952321,-91.0549035,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: DYE01; geocode method: venue_city_state; geocode query: Field of Dreams Dyersville IA
mlb:chi12,Guaranteed Rate Field;U.S. Cellular Field,guaranteed rate field u s cellular field,MLB,CHA,CHA,1991,2025,Chicago,IL,United States,17031,Cook County,16980,"Chicago-Naperville-Elgin, IL-IN",41.8755616,-87.6244212,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: CHI12; geocode method: city_state_fallback; geocode query: Chicago IL; county inferred from venue city/state
mlb:chi11,Wrigley Field,wrigley field,MLB,CHN,CHN,1914,2025,Chicago,IL,United States,17031,Cook County,16980,"Chicago-Naperville-Elgin, IL-IN",41.9481846,-87.6555590,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: CHI11; geocode method: venue_city_state; geocode query: Wrigley Field Chicago IL
mlb:bos07,Fenway Park,fenway park,MLB,BOS,BOS,1912,2025,Boston,MA,United States,25025,Suffolk County,14460,"Boston-Cambridge-Newton, MA-NH",42.3464614,-71.0970999,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: BOS07; geocode method: venue_city_state; geocode query: Fenway Park Boston MA
mlb:bal12,Oriole Park at Camden Yards,oriole park at camden yards,MLB,BAL,BAL,1992,2025,Baltimore,MD,United States,24510,Baltimore city,12580,"Baltimore-Columbia-Towson, MD",39.2837383,-76.6216056,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: BAL12; geocode method: venue_city_state; geocode query: Oriole Park at Camden Yards Baltimore MD
mlb:det05,Comerica Park,comerica park,MLB,DET,DET,2000,2025,Detroit,MI,United States,26163,Wayne County,19820,"Detroit-Warren-Dearborn, MI",42.3392219,-83.0488632,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: DET05; geocode method: venue_city_state; geocode query: Comerica Park Detroit MI
mlb:min04,Target Field,target field,MLB,MIN,MIN,2010,2025,Minneapolis,MN,United States,27053,Hennepin County,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",44.9816845,-93.2778643,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: MIN04; geocode method: venue_city_state; geocode query: Target Field Minneapolis MN
mlb:kan06,Kauffman Stadium,kauffman stadium,MLB,KCA,KCA,1973,2025,Kansas City,MO,United States,29095,Jackson County,28140,"Kansas City, MO-KS",39.0515081,-94.4804598,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: KAN06; geocode method: venue_city_state; geocode query: Kauffman Stadium Kansas City MO
mlb:stl10,Busch Stadium III,busch stadium iii,MLB,SLN,SLN,2006,2025,St. Louis,MO,United States,29510,St. Louis city,41180,"St. Louis, MO-IL",38.6254063,-90.1900090,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: STL10; geocode method: city_state_fallback; geocode query: St. Louis MO; county inferred from venue city/state
mlb:oma01,TD Ameritrade Park,td ameritrade park,MLB,KCA,KCA,2019,2019,Omaha,NE,United States,31055,Douglas County,36540,"Omaha, NE-IA",41.2587459,-95.9383758,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: OMA01; geocode method: city_state_fallback; geocode query: Omaha NE; county inferred from venue city/state
mlb:buf05,Sahlen Field,sahlen field,MLB,TOR,TOR,2020,2021,Buffalo,NY,United States,36029,Erie County,15380,"Buffalo-Cheektowaga, NY",42.8804994,-78.8737899,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: BUF05; geocode method: venue_city_state; geocode query: Sahlen Field Buffalo NY
mlb:nyc20,Citi Field,citi field,MLB,NYN,NYN,2009,2025,New York,NY,United States,36081,Queens County,35620,"New York-Newark-Jersey City, NY-NJ",40.7572778,-73.8458788,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: NYC20; geocode method: venue_city_state; geocode query: Citi Field New York NY
mlb:nyc21,Yankee Stadium II,yankee stadium ii,MLB,NYA,NYA,2009,2025,New York,NY,United States,36061,New York County,35620,"New York-Newark-Jersey City, NY-NJ",40.7127281,-74.0060152,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: NYC21; geocode method: city_state_fallback; geocode query: New York NY; county inferred from venue city/state
mlb:cin09,Great American Ballpark,great american ballpark,MLB,CIN,CIN,2003,2025,Cincinnati,OH,United States,39061,Hamilton County,17140,"Cincinnati, OH-KY-IN",39.1012809,-84.5127405,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: CIN09; geocode method: city_state_fallback; geocode query: Cincinnati OH; county inferred from venue city/state
mlb:cle08,Progressive Field,progressive field,MLB,ALS,ALS,1994,2019,Cleveland,OH,United States,39035,Cuyahoga County,17410,"Cleveland, OH",41.4960906,-81.6851319,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: CLE08; geocode method: venue_city_state; geocode query: Progressive Field Cleveland OH
mlb:cle08,Progressive Field,progressive field,MLB,CLE,CLE,1994,2025,Cleveland,OH,United States,39035,Cuyahoga County,17410,"Cleveland, OH",41.4960906,-81.6851319,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: CLE08; geocode method: venue_city_state; geocode query: Progressive Field Cleveland OH
mlb:phi13,Citizens Bank Park,citizens bank park,MLB,PHI,PHI,2004,2025,Philadelphia,PA,United States,42101,Philadelphia County,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.9059221,-75.1664804,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: PHI13; geocode method: venue_city_state; geocode query: Citizens Bank Park Philadelphia PA
mlb:pit08,PNC Park,pnc park,MLB,PIT,PIT,2001,2025,Pittsburgh,PA,United States,42003,Allegheny County,38300,"Pittsburgh, PA",40.4469258,-80.0056063,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: PIT08; geocode method: venue_city_state; geocode query: PNC Park Pittsburgh PA
mlb:wil02,BB&T Ballpark at Bowman Field,bb and t ballpark at bowman field,MLB,BAL,BAL,2017,2017,Williamsport,PA,United States,42081,Lycoming County,48700,"Williamsport, PA",41.2411556,-77.0011096,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: WIL02; geocode method: city_state_fallback; geocode query: Williamsport PA; county inferred from venue city/state
