county_fips,county_name,state,cbsa_code,cbsa_name,week_start_monday,merchants_all,revenue_all,game_count,completed_game_count,future_or_uncompleted_game_count,playoff_game_count,championship_game_count,neutral_site_game_count,total_attendance,unique_venue_count,high_confidence_venue_game_count,low_confidence_venue_game_count,has_event,mlb_game_count,nba_game_count,nfl_game_count,nhl_game_count,year,month,week_of_year,quarter,event_intensity,completed_event,playoff_event,championship_event,neutral_site_event,high_confidence_share,low_confidence_share,high_attendance_event,high_attendance_threshold,revenue_all_lag1,revenue_all_lag2,revenue_all_diff1,revenue_all_rolling4_mean,revenue_all_vs_rolling4,merchants_all_lag1,merchants_all_lag2,merchants_all_diff1,merchants_all_rolling4_mean,merchants_all_vs_rolling4
01073,Jefferson County,AL,13820,"Birmingham, AL",2020-01-06,0.00381,-0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
04013,Maricopa County,AZ,38060,"Phoenix-Mesa-Chandler, AZ",2020-01-06,-0.00288,0.00356,4.0,4.0,0.0,0.0,0.0,0.0,42877.0,2.0,4.0,0.0,True,0,3,0,1,2020,1,2,1,4.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
04019,Pima County,AZ,46060,"Tucson, AZ",2020-01-06,0.00791,-0.0359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
06001,Alameda County,CA,41860,"San Francisco-Oakland-Fremont, CA",2020-01-06,-0.0125,-0.00361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
06029,Kern County,CA,12540,"Bakersfield-Delano, CA",2020-01-06,0.0111,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
06037,Los Angeles County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-01-06,0.0131,-0.0108,5.0,5.0,0.0,0.0,0.0,0.0,57062.0,2.0,5.0,0.0,True,0,3,0,2,2020,1,2,1,5.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
06059,Orange County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-01-06,0.00962,0.00152,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,True,0,0,0,3,2020,1,2,1,3.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
06065,Riverside County,CA,40140,"Riverside-San Bernardino-Ontario, CA",2020-01-06,-0.00347,-0.00293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
06067,Sacramento County,CA,40900,"Sacramento-Roseville-Folsom, CA",2020-01-06,0.000819,-0.0161,2.0,2.0,0.0,0.0,0.0,0.0,33402.0,1.0,2.0,0.0,True,0,2,0,0,2020,1,2,1,2.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
06071,San Bernardino County,CA,40140,"Riverside-San Bernardino-Ontario, CA",2020-01-06,0.00676,-0.00817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
06073,San Diego County,CA,41740,"San Diego-Chula Vista-Carlsbad, CA",2020-01-06,0.0053,-0.00644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
06075,San Francisco County,CA,41860,"San Francisco-Oakland-Fremont, CA",2020-01-06,0.00725,-0.0243,1.0,1.0,0.0,0.0,0.0,0.0,18064.0,1.0,1.0,0.0,True,0,1,0,0,2020,1,2,1,1.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
06085,Santa Clara County,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020-01-06,0.0106,-0.0397,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,True,0,0,1,2,2020,1,2,1,3.0,True,True,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
06113,Yolo County,CA,40900,"Sacramento-Roseville-Folsom, CA",2020-01-06,0.00208,0.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
08031,Denver County,CO,19740,"Denver-Aurora-Centennial, CO",2020-01-06,-0.0111,-0.0407,2.0,2.0,0.0,0.0,0.0,0.0,19533.0,2.0,2.0,0.0,True,0,1,0,1,2020,1,2,1,2.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
08041,El Paso County,CO,17820,"Colorado Springs, CO",2020-01-06,0.00261,0.0421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
11001,District of Columbia,DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-01-06,-0.00952,0.0409,5.0,5.0,0.0,0.0,0.0,0.0,50276.0,2.0,5.0,0.0,True,0,3,0,2,2020,1,2,1,5.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
12011,Broward County,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-01-06,0.0387,-0.0339,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,True,0,0,0,2,2020,1,2,1,2.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
12031,Duval County,FL,27260,"Jacksonville, FL",2020-01-06,0.0218,-0.0273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
12057,Hillsborough County,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",2020-01-06,0.00423,-0.0401,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,True,0,0,0,2,2020,1,2,1,2.0,True,False,False,False,1.0,0.0,False,58800.0,,,,,,,,,,
12086,Miami-Dade County,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-01-06,0.0183,-0.0607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,58800.0,,,,,,,,,,
